2025-02-09 00:56:58,553 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\pom.xml
2025-02-09 00:57:01,737 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Maven.com.jpa:LPII_CL2_ACUNACAMPOSBRIAN:0.0.1-SNAPSHOT @ C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\pom.xml.
2025-02-09 00:57:03,411 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/java
2025-02-09 00:57:03,412 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/resources
2025-02-09 00:57:03,413 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/test/java
2025-02-09 00:57:06,810 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 8 sec
2025-02-09 00:57:07,882 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:57:07,910 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 00:57:07,912 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:57:07,912 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 00:57:26,168 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:57:26,170 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 00:57:26,171 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:57:26,172 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:02:41,243 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Maven.com.jpa:LPII_CL2_ACUNACAMPOSBRIAN:0.0.1-SNAPSHOT @ C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\pom.xml.
2025-02-09 01:02:41,404 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:02:41,446 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:02:41,752 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:02:42,268 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:02:42,270 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:02:42,271 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:02:42,272 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:02:42,273 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:02:42,276 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:02:42,282 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:02:43,365 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:02:43,381 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:02:43,382 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:02:43,383 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:02:43,384 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:03:43,048 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2025-02-09 01:03:43,433 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Maven.com.jpa:LPII_CL2_ACUNACAMPOSBRIAN:0.0.1-SNAPSHOT @ C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\pom.xml.
2025-02-09 01:03:43,457 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:03:43,491 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:03:43,782 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:03:43,932 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/java
2025-02-09 01:03:43,932 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/resources
2025-02-09 01:03:43,932 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/test/java
2025-02-09 01:03:44,397 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:03:44,528 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:03:44,533 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2025-02-09 01:03:45,089 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:03:45,114 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:03:45,115 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:03:45,118 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:03:45,118 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:03:45,119 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:03:45,119 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:03:45,122 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:03:45,322 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:03:45,327 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:03:45,329 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:03:45,329 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:08:39,938 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:08:39,939 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:08:39,940 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:08:39,941 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:09:03,377 [Worker-41] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2025-02-09 01:09:03,761 [Worker-41] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Maven.com.jpa:LPII_CL2_ACUNACAMPOSBRIAN:0.0.1-SNAPSHOT @ C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\pom.xml.
2025-02-09 01:09:03,787 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:09:03,826 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
